댓글,state
새로운 문화가 생겼다는건 좋은 일이다 색안경끼고 보는 사람들도 있는데 이것이 세계적으로 공유되고 있는 문화다 템포를 못따라갔다고 비판부터 하는건 옳지 않다 나도 버튜버를 좋아하는 편은 아니지만 싫어할 이유가 없지않나라는 생각을 한다,긍정적
솔직히 할말은 많은데 흠,긍정적
신기하네 저런거에 열광하는게,긍정적
꺄아,부정적
욕을하는 놈이나 반박하는 놈이나 또찐깨찐 차라리 댓글을 달지마라,긍정적
하 난 모르겠다,긍정적
킹아,긍정적
맙소사,부정적
정확히 어떻게 하는겁니까 무대 뒤에서 영상을틀어놓고 라이브로 부르는 건가요 아님 라이브로 모션캡쳐 슈트를입고 스튜디오에서 라이브로 촬영하는방식입니까 요즘은 과학의 기술이 신기합니다,긍정적
어,부정적
형은 관짝 까지 다 만들어놓고 망하면 바로 관보낼려고했던 컨텐츠가 이렇게 일이 커질거라고 알고있었을까,긍정적
130 안에 사람이 있어요,긍정적
눈물난다 이세계아이돌 더 흥해라,긍정적
레전드,부정적
뉴스까지 뜨냐,긍정적
녹화된 영상 가지고 10만원 이 나라는 답이 없다 어서 시일야방성대곡 완장해야함,부정적
저건 미쿠 아니냐,부정적
대부분의 욕하는 댓글 쓰는 사람들 구독목록 보면 다른 버튜버들 있음 참 투명해,부정적
사실 형도 어리둥절한 상황 형은 신이야,긍정적
버츄얼 아이돌의 좋은 사례가 되어주었으면 좋겠네요 이런 사례부터 시작해서 케이팝처럼 새로운 문화가 정착하는거죠,부정적
우왁굳의 승리네,긍정적
059 저기서 조금만 더 옆으로 가면 나 나왔겠는데,긍정적
이게 먹힐거란걸 생각 못했는데,부정적
이해할려해도 이해못하는영역임,긍정적
왁굳형과 인사한게 제일 부러워,긍정적
이게 아이돌이다,긍정적
이세돌 사랑해,긍정적
캬,긍정적
흠,긍정적
음,부정적
어 품어,부정적
물품보관소,긍정적
배 아파서 미치려는 쿨찐이 많이 보이네,긍정적
오뜨억꾹아 이쯤되면 나오자,긍정적
이세돌 화이팅,긍정적
엄,긍정적
우리 아이돌 어디까지 성장하는거야,긍정적
이건 쫌,부정적
킹아,긍정적
가상 캐릭터,긍정적
캬 미쳤다,긍정적
기자님 컴퓨터 바꿔 드리고 싶네,부정적
꼴값 레전드,부정적
왁천지,부정적
왁굳형 대한민국의 획을긋는 컨탠츠 중이시다,긍정적
뉴스 보면서 눈물 나오는건 처음입니다 이세돌 행복하자 영택이형 사랑해,긍정적
우왁굳 스트리퍼,긍정적
티켓킹 실패해서 모시깽이한 이파리들은 개추,긍정적
킹애,긍정적
서브걸쳐 폼 미쳤고,부정적
우왁굳은 신이다,부정적
이건 우왁굳이 아니야,부정적
존중하지만 나한테는 힘드네,부정적
분명 아는 사람만 아는건데 뉴스 등등 양지로 올라오라고 밀어주는데 어카노 이거,긍정적
솔직히 이해는 안되지만 부정적으로 보고싶지도 않네요 좋은세상 좋아하는 일 하면서 즐겁게들 사시길,부정적
여기에 텔장연 현진견들이 기습번트 하고있다는데 맞나요,긍정적
서장훈슨생님 버튜버한다 할때 뭔가했는데 유튭영상찾아보니 웃기던데,긍정적
2 좋아하는 거랑 비슷한가,긍정적
왁굳형 입꼬리가 귀에 걸친게 58000 앞까지 보인다,부정적
언제 봐도 사랑스럽다,긍정적
이세돌 영원히,긍정적
이게 드디어 양지에 올라왔네,긍정적
이상한걸 이상하다하면 안되냐 노래는좋은데,부정적
오타쿠들,부정적
세상이 나를 상대로 몰카를 하는건가,부정적
이세계아이돌 사랑해 영원 하자,긍정적
몇 년 전에 하츠네미쿠 일본 공연하는거 보고 충격이였는데 한국에서 이런 공연을 하니까 지금은 무덤덤하네,긍정적
이뭔씹 정상 이세돌 사랑해요 정상 악플 및 비난 비정상,부정적
세상이 날 상대로 몰카하는 중인건가,부정적
쟤네 군인 비하한 애들 아님,부정적
여기 댓글 좌표찍혔나본데,긍정적
이세계 페미돌 잘봤습니다허버허버,부정적
이렇게 계속이세돌의 역사가 하나 하나 계속 시작되느거야,긍정적
우리가 왤케 이세계 아이돌에 열광하는지 궁금하신가요 단 한 마디로 설명하자면 아이돌은 스토리다 이 한 마디로 설명 가능합니다,긍정적
가상이 아니라 사람이 있어요,긍정적
어우 난 음지에 계속 있고 싶었는뎅,긍정적
머라노,긍정적
별로다,부정적
언젠가는 이세돌이 모두에게 인정받는 날이 올 것이다,긍정적
우리는 이세계 아이돌의 시대를 살고 있다,긍정적
인터뷰까지 했었구나,부정적
어느 분야든 상위 1는 먹고산다지만 현실 아이돌 지망생들은 현타 올듯,긍정적
이상해,긍정적
이 영상 편집한 분이 주폭도가 아닌가 하는 합리적 의심이 드네요 화면마다 르르땅 단독샷이랑 센터샷,긍정적
시대가 변하고있음 못따라오면 도태되는거임,긍정적
신기하다,긍정적
이세돌 최고,부정적
우웩,긍정적
나도 가고싶었는대,긍정적
바둑기사 라는 말만 안나왔으면 좋겠다,긍정적
기자님 좋은 컴퓨터 지급받으시길 기원합니다,긍정적
기자님 컴터하나 장만하셔야할듯,긍정적
테헹 어 스브스 아 올라왔다고 어 킹애,긍정적
에휴,긍정적
주르르 존나 사랑해,긍정적
음군대돌,긍정적
형은 신이야,긍정적
세상이 미친거같다,부정적
가고싶다,긍정적
20덕,긍정적
나 입덕당한건가,부정적
릴파아아아아아아아아아아아아아 릴파님 사랑해요,부정적
음,부정적
쌀택이형 영거같아,긍정적
다 모르겠고 일단 양지아닌건 알어 개씹음지인거 알겠으니깐 나만 좋아할게 어 킹아,부정적
캐릭을 좋아하는 거지 본모습이 어떻게 생겼는 지도 모르는 거 아님,부정적
씹덕들 이게 인싸문화라거 생각하는거 개웃김,부정적
050 튻훈이형,긍정적
버추얼보이는 라디오 모르시는분들 허상을 쫒는게 아니라 스트리밍 시청을 하는거임 입담 좋고 노래 좋고 재밌어서 빠는거임 보이는 라디오 라고 생각하세요,긍정적
옛날에 미쿠같은거 나올때는 욕 엄청했는데 세상이변했나 같은부류같은데 또 좋게보네,긍정적
군발언 영상 보고 어우야 했는데해명됬나요,긍정적
저도 버튜버 좋아하는데요 대중에게 전파되기 아직 이른 음지문화 라 생각합니다 대중들에게도 적응하는 시간이 필요합니다,긍정적
새로운 세계다신기함,긍정적
형 우리가 해냈어,부정적
환장하겠다 준호남김,긍정적
찐으로 이세돌 전곡 다 좋아요,부정적
주르르 홍조컨 폼 미쳤다,부정적
레전드다 이세계아이돌 맨날응원해 파이팅,긍정적
좋기만 하구만,긍정적
2010년대 이세돌 바둑기사 2020년대 이세돌 이세계아이돌,긍정적
99999999둘기가 흐느끼며 울부짖었다,부정적
왁굳님은 신이다,부정적
우리나라도 점점 화 되고 있네 글로벌한 세상,긍정적
엄 준 식,부정적
이러다가 나중에 대학교축제에도 이런 버튜버 아이돌들 올까봐 두렵다 난 가 아니라 사람을 보고싶다고,긍정적
뭔가 짠하다,긍정적
이세돌 뉴스까지 나오다니 허흨흐킄 읕,긍정적
이젠 뉴스 까지 타는 이세돌 폼 미쳤다,부정적
이름을 뺏겨버린 바둑기사 이세돌 배우 김정은 김규리,긍정적
역하네,부정적
킹아,부정적
나라 망했노,긍정적
이세돌도 좋지만 사람들은 사실 맨처음에 나온 왠 노란 아저씨를 더 좋아합니다,긍정적
킹애,긍정적
댓글보니까 뭔 자꾸 새로운 문화다 이러는데 언제부터 버츄얼 캐릭터가 문화였냐,긍정적
과거 하츠네미쿠씨를 보며 열광한 일본분들이 이제 이해가가는거에요,긍정적
빼앗긴 음지,긍정적
문화충격이네요,부정적
새상이 미쳐 돌아가고 있다,부정적
팬과 실시간 소통을 한다는게 큰 강점이지,부정적
버츄얼이 세상을 지배한다,긍정적
생각보다 노래가 좋아서 놀람,부정적
예전에 보컬로이드 하츠네 미쿠 콘서트 보는 일본인들 이해가 안 간다는 국민들 어디갔냐,긍정적
노래가 좋은것도 잘부르는것도 아닌데 왤케 인기가 많음,부정적
이번기회로 인식이 많이 바꼈을거라 믿는다 나의자랑스런 아이돌,긍정적
스토리는 이세돌이다,긍정적
누굴 좋아하는건 자유니깐 존중은함 근대 난 아직 무슨매력으로 좋아하는건지 모르겠다,부정적
이세돌 사랑해 형 사랑해,긍정적
열광하는팬들 하더니 두명만 폴짝폴짝뛰고 조아하구먼 과대포장,부정적
음방가즈아,긍정적
똥컴,긍정적
페미들 차렷 이것만큼은 욕해도 인정하겠다,긍정적
자랑스럽다 이세돌,부정적
김장훈형 예전 아듀콘서트 같은거 하던 월클이 어쩌다,긍정적
이셰게아이돌,긍정적
캬,부정적
다들 바둑 좋아한다니 보기좋네요,부정적
시대는 빠르게 변합니다 나이를 먹으면 색안경을 벗는 것이 쉽지 않죠,긍정적
왁굳형 대단해요,부정적
세상이,부정적
엄,부정적
이야 오디션때부터 계속 봤는데 이정도로 커질줄은 상상도 못했다이세돌 앞으로도 영원하자,부정적
이파리분들 아미가 응원합니다,부정적
우욱,긍정적
이러한들 어떠하리 저러한들 어떠하리 버튜버 유튜버가 얽어진들 어떠하리,부정적
드릉드릉 허버허버 군적금을 양지로,긍정적
아니 방송국놈들 컴퓨터 성능 실화냐,긍정적
하츠네 미쿠 3 공연장 욕하더니 똑같아 졌노,긍정적
직접 챗까지 오셔서 인터뷰해주셩서 감사합니다 이런 날이 오다니 꿈만 같다,긍정적
로 차원을 넘었다,긍정적
킹애,긍정적
형 우리 음지아니야,부정적
대한민국은 망했다,긍정적
이세돌 화이팅 우왁굳 사랑해,부정적
좋은컴퓨터쓰세요,부정적
이세돌 파이팅,부정적
팬덤이 꽤나 크고 단단한가보네,긍정적
아 젠장 또 우왁굳이야,부정적
우왁굳 서포트 하는거 존나 치인다 치여,긍정적
편집자 주폭도 확인,부정적
요즘 노래 못 부르는 아이돌의 기강을 잡기위해 이세계 아이돌이 나타났다,긍정적
사실상 멜로망스가 가장 유명하긴한데 멜로망스 얘긴 안나오네,긍정적
바둑기사 이세돌님 자기 이름 오염돼서 상당히 빡치시겠네 네이버나 구글에 검색할 때도 이딴거 나올텐데,긍정적
대한민국의 미래는 도대체 어디로 흘러가는가,부정적
왁굳님 보고계시나요 음방큼큼쿰,긍정적
이해해주진 못하지만 존중함,긍정적
댓글반응보면 우리나라는 서브컬쳐로 뜰일은 절대없겠구나 싶네 인식이 부정적인데 어떻게 더나아가겠냐,부정적
야 보고있지,긍정적
평균나이 30대 아닌가,긍정적
어지럽네,부정적
못생긴 여주 쓰는 게임이나 인어공쥬가 갑자기 까매지는 영화 나오는시대인데 이정도면 평범하지,긍정적
이런걸 좋아하는게 이해가 안되네,긍정적
왁굳형 양복이라니,부정적
흠 뭔진 모르겠지만 모시깽이하네 하하하 욘석들 킹아,부정적
음,긍정적
면제파티,긍정적
얼굴이 딸리니까 버츄얼 하는거 아니노,긍정적
오타쿠같은거임,긍정적
이젠 나도 모르겠다,부정적
캬 이거야,부정적
우욱 이거보니 옛날 일본에 3 미쿠 영상 보면서 비웃었던거 생각남 취향 존중,긍정적
엄,긍정적
캬,긍정적
대단하다 이딴것도 뉴스에 뜨고,긍정적
나한테는 입덕부정기란 없었다,긍정적
눈물이 주르르 흐르네요,긍정적
210 이 분이 비주얼인가요,부정적
으 드러워,부정적
나도 좋아할줄 몰랐지,긍정적
제발 현실을 살자,부정적
하,긍정적
이이게먼가요,부정적
아담 보고있나요,긍정적
현장에 2만명 넘게 왔던데 다른아이돌 콘서트 10번도 넘게 가봤지만 이번이 최고였어요,부정적
이 영상 첨에 볼때는 몰랐는데 다시보니 우왁굳이 키우던 버츄얼 아이돌이였다니,부정적
이세돌 보단 오영택이지,긍정적
왁굳 폼무쳤다,긍정적
박효신 인줄,긍정적
대입때문에 잘 못 보고 있었는데 도대체 무슨일이,부정적
어헝헝 젛아용,부정적
버츄얼버추널 아이돌잘 모르겠지만 매우 모시깽하고 킹아하네요 앞으로 응원할게요,긍정적
210 난닝구 차림으로 손님 맞이하는 사장님,부정적
이세돌 화이팅,긍정적
대한민국이 망해가고 있다,긍정적
신기하다,부정적
우왁굳이 새로운 산업을 만들었네 대단하다,긍정적
씹덕 맞아요네음저는,긍정적
아직까진 인식이 이렇지만 언젠가는 인식이 올라오기를,부정적
렌트게늄 같아서 웃기네,긍정적
나락,긍정적
여기가 음지,부정적
이제 나이가 든건가 못따라가겠다,긍정적
나도 처음엔 이게 좋나 했는데 좋다,긍정적
역시 이세계아이돌 클라스,긍정적
이세페 일때문에 못가서 아쉽다 굿즈 사고 싶었는대,부정적
생각보다 좋아하는 사람 많구나 신기하네,긍정적
음 킹아,긍정적
의자에 앉는거 어떻게 해요 허공에 앉아 있으면 다리아플텐데,긍정적
이런 버츄어아이돌 난 인정못해 인정못해 이러면서 점점 요새 계속 엄어믕음머어 하면서 계속 어 엉믕 아 빠져든다 아 클낫다 왁굳이 천재임 소질도 있지만 경험이 넘사벽이라 얘들오래갈꺼임 자이제 아이네 보러가야지 하이네,부정적
혼란스럽다,부정적
세대차이인지 개인적으로 버튜버는 잘 모르겠네요,부정적
이세돌 팬은 아니지만 버츄얼 팬으로써 더이상 이런걸 보고 눈살을 찌푸리는게 아닌 함께 존중해주고 즐겨줬으면 좋겠어요,부정적
모션캡처 오지는구만,긍정적
버튜버가 양지화되냐,부정적
뭔지모르겟지만 좋네요 킹아,부정적
맨앞쪽에 둘뿐인아들이있다 티켓팅도 힘들었다는데,긍정적
이상한 애들 저기 다 모임 미사일 한방 떨궈라 깨끗해지게,긍정적
우왁굳이 쏘아올린 존나 큰 공,긍정적
같이 좋아해달라고는 안해요 싫어하지만 하지말아줘요 진입장벽 큰거 알고있으니까요,부정적
얘네 욕하면 명예훼손임,부정적
박효진님 엄청 기자같으셔요 능숙하시네요,긍정적
210 인천 송도에 사는 어깨깡패꾸러미미소왁해인 사랑해,부정적
이세돌 최고,부정적
이세돌 화이팅 킹아,부정적
스브스 아이돌 킹아,긍정적
걍 이게 이제 인싸문화같음,부정적
오스트랄로 오타쿠쓰,긍정적
이쯤이면 공중파 예능이나 음악프로에 섭외 해야 하지 않을까나,긍정적
어휴,부정적
군대에서도 아이돌 좋아해본 적 없는데 23년 무패기록을 이세돌이 깨트렸다 누나들이 책임져,부정적
가짜들이지 얼공은 싫고 돈은 벌고싶고,긍정적
욕 하는 사람 많던데억울해죽겠네 우리도 양지로 올지 몰랐다고요음지에서만 즐기고싶었는데 양지로 올라올줄 몰랐어,부정적
이세돌,부정적
이렇게까지 이세돌이 성장할 줄은 몰랐다이세돌분들 관해서 다뤄주셔서 감사합니다,부정적
스브스 드디어 미친건가,부정적
요즘 시대가 많이 바껴서 좋다,긍정적
우리 자랑스러운 버튜버 이세돌 아자아자 파이팅,긍정적
이미 왁물원에 올라가서 돚거가 되고있는 중일 영상,긍정적
왁굳형사랑해고마워,부정적
역시 디지털보다는 실물이다 권은비 만세 만세 만만세,긍정적
이세돌 인터뷰도 좋지만 훨씬 더 대단한 사장님은 인터뷰 안하나,긍정적
129 가상의 인물 아닙니다 본인이 이름과 외견만 바꿔서 자신으로 활동을 해나가시는겁니다 보통 가상인물이라면 일본버튜버처럼 개인정보전체가 설정 픽션인 경우로 스토리작가도 따로있어 해당 버튜버 캐릭터를 연기하는 성우 성격이 크지만,긍정적
복면가왕인데 시청자랑 소통 가능하다고 생각하시면 이해하기 편하실 거예요,긍정적
이세계 아이돌 미쳐따,긍정적
악플은 무시가 답이다,긍정적
양지호소인,부정적
이해도 안 되고 매우 혼란스럽다,긍정적
형 02의 꿈은 성공했어 이젠 02가 아니라 200센트야 이세돌들 모두,부정적
에휴,긍정적
님 대체 무슨 컴으로 들어가신건가요 저희 이렇게 끊기지는 않아요 510 아이네님 눈이 무서워요,부정적
청순보컬 아이네 모시깽이 징버거 릴파 홍조여신 주르르,부정적
역시,긍정적
어휴 십덕들 좋텐다,긍정적
사무실 컴으로 인터뷰했나 엄청 버벅이네,긍정적
릴파님 서사가 제일 눈물,긍정적
이세돌이 개최한 게 아니라 초대된 걸로 알고 있는데요,긍정적
다 좋은데 이게 무슨 화면렉이,부정적
팬치입니다 궁금한게 저 페스티벌 공연에서도 직접 다 움직이신건가요 아니면 미리 작업해놓은대로 움직이신건가요 아니면 말이나 노래만 하신건가요 궁금하네요,긍정적
세상이 미쳐돌아가는구나,긍정적
이세돌 알아 바둑기사 아이돌 이런 미래를 기다림니다,부정적
악플러들은 아이유도 노래로 까고 장원영도 외모로 까는데 이세돌 악플 사실상 신경 안써도됨,긍정적
057 되게 뢴트 같댜,긍정적
세상이 말세긴 한듯,긍정적
113 딱 봐도 징버거 팬이다,긍정적
왁굳형은 신이야,긍정적
이세돌 폼 미쳤다,긍정적
음지는 음지로 갑시다 자꾸 양지에 나오지말고,부정적
영택이형 당신은 도대체,긍정적
자랑스럽다 이세돌,긍정적
버튜버 쟤들한텐 별감정없는데 재들 팬이랍시고 패악질 부리는 팬덤이 역겨움,부정적
어차피 쉽게 버리고 싶어서 저러는거,부정적
댓글 투기장 보러 왔으면 개추,부정적
본능적,긍정적
200,긍정적
형 이래도 우리가 음지야,부정적
킹아킹애,긍정적
여기서 욕하는 애들 저기에 팬들이라고 나온 사람들만큼 꾸미곤 살긴하냐,부정적
역시 우리형이야,긍정적
화이팅,긍정적
스브스까지 진출하다니 망상이 현실로 변하고있네요,부정적
나는 꼰대다 충격이네,부정적
진심 이런걸 유튜브에서 검색하고 찾아본다고,긍정적
이게 뭔데,부정적
나도 이세페 가고싶은데 다른 나라에 살아서,긍정적
아무래도 3차원에서 차원이 하나 낮아지면 음지로 들어가는 듯,긍정적
엌 캬 함 빠져봐,부정적
이파리 라서 좋은 나 킹아 이세돌 사랑해요,긍정적
취향 존중 해야겠지,부정적
킹아,부정적
십 댓글감시단 있음 별로라고 하는 댓글엔 바퀴벌레같이 몰려드네,부정적
각각 맴버 성우 보면 아마 탈덕하지 않으까,부정적
제3세계아이돌,부정적
썸넬 르르땅 검나 이쁘게 나왔네,긍정적
세상이 참,부정적
킹애,부정적
오타쿠 맞습니다 받아들이기 어려운 거 맞습니다 신기한 거 맞습니다,부정적
미쳐돌아가네,긍정적
일본의 음침하고 나쁜문화를 가져올 이유가 있나싶네,긍정적
